title,abstract,trial
"""Evaluation of the prognostic and predictive value of HER-1/EGFR in breast cancer patients participating in a randomized study with dose-dense sequential adjuvant chemotherapy.""","""BACKGROUND: To assess the prognostic and predictive significance of HER-1/EGFR protein levels in high-risk patients with breast cancer treated with dose-dense sequential adjuvant chemotherapy. METHODS: 595 high-risk breast cancer patients were treated with adjuvant anthracycline-based dose-dense sequential chemotherapy (E-CMF vs. E-T-CMF). Disease-free survival (DFS) was the primary end point. HER-1/EGFR was assessed by immunohistochemistry (IHC) in 312 patients. RESULTS: HER-1/EGFR expression was detected in 54 of 312 patients (17%). Positive expression of HER-1/EGFR was significantly associated with negative receptor status (52 vs. 17%, p < 0.001), worse histological grade (70 vs. 45%, p = 0.001), HER-2 overexpression (46 vs. 27%, p = 0.01) and positive p53 expression (48 vs. 19%, p < 0.001). With a median follow-up of 7 years, the total number of relapses was 105 (34%), and the total number of deaths 69 (22%). The analysis for DFS provides significant evidence that the HER-1/EGFR effect on the risk of disease progression was different according to treatment (interaction p = 0.02). Regarding overall survival, a trend towards a significant difference for an interaction of HER-1/EGFR and treatment was found (p = 0.07). CONCLUSION: The present study demonstrated a differential effect of positive HER-1/EGFR expression in the two treatment groups, with HER-1/EGFR being a negative prognostic marker in the absence of paclitaxel.""",0
"""A GINECO randomized phase II trial of two capecitabine and weekly paclitaxel schedules in metastatic breast cancer.""","""To determine whether capecitabine schedule adaptation improves the tolerability of capecitabine-paclitaxel combination therapy for metastatic breast cancer (MBC), patients with anthracycline-pretreated HER2-negative MBC were randomized to either arm A (21-day cycles: capecitabine 1,000 mg/m(2) twice daily, days 1-14; paclitaxel 60 mg/m(2), days 1, 8, and 15) or arm B (28-day cycles: capecitabine 1,000 mg/m(2) twice daily, days 1-5, 8-12, and 15-19; paclitaxel 80 mg/m(2), days 1, 8, and 15). The primary endpoint was the incidence of dose reductions or delays >1 week for grade 3/4 toxicity. Secondary endpoints were efficacy and safety. All 130 randomized patients were evaluable for safety. Dose reduction or delay for grade 3/4 toxicity occurred in 39% of patients in arm A and 34% in arm B during cycles 1-6. In arm A, there were significantly more toxicity-related dose reductions (cycles 1-6: 82 vs. 67%, respectively; P = 0.05) and discontinuations (29 vs. 8%, respectively). Grade 3 diarrhea occurred in 12 and 0%, respectively, and grade 3 hand-foot syndrome in 12 versus 9%, respectively (grade 4 not applicable). There were no detectable differences in efficacy. Weekday capecitabine dosing with weekly paclitaxel may improve tolerability without a detrimental effect on efficacy, and merits further evaluation in patients suited to combination chemotherapy.""",1
"""Tamoxifen adjuvant treatment duration in early breast cancer: initial results of a randomized study comparing short-term treatment with long-term treatment. Fí©dí©ration Nationale des Centres de Lutte Contre le Cancer Breast Group.""","""PURPOSE: In 1986, The Fí©dí©ration Nationale desCentres de Lutte Contre le Cancer Breast Group initiated a multicenter randomized trial to assess the usefulness of long-term adjuvant tamoxifen treatment. Short-term adjuvant tamoxifen treatment was to be compared with life long adjuvant tamoxifen treatment. PATIENTS AND METHODS: Patients who were disease-free after 2 to 3 years of adjuvant tamoxifen treatment were eligible for the trial. From September 1986 to May 1995, 3,793 patients were randomized from France, Belgium, and Argentina. A total of 1,882 patients stopped tamoxifen (short-term group), and 1,911 patients were to continue tamoxifen for life (long-term group) at the same dose as previously prescribed. The protocol was modified in February 1997, limiting tamoxifen treatment to 10 years after randomization, thus giving a comparison between a 2- to 3-year treatment and a 12- to 13-year treatment. To date, the median duration of tamoxifen treatment is 30 months in the short-term group, and 70 months in the long-term group. RESULTS: Overall, longer tamoxifen treatment induced a 23% reduction in relapse rates, leading to a 7-year disease-free survival rate of 78%, compared with 72% in the shorter-treatment group. In contrast, overall survival did not differ between the two groups, with a 79% overall survival rate in both groups. This improvement in disease-free survival could be observed in node-positive patients (P: =.001); however, it was not found in node-negative patients. Prolonged tamoxifen treatment corresponded to a significant increase in disease-free survival in estrogen receptor-positive patients (P: =.03) as well as in estrogen receptor-negative patients (P: =.05). Furthermore, longer treatment reduced contralateral breast cancers and did not increase the number of endometrial cancers. CONCLUSION: Although no survival advantage was noted, patients did benefit from longer tamoxifen treatment over 3 years and had significantly better disease-free survival compared with patients who stopped hormonal treatment. Long-term follow-up is needed to assess these results. Most patients in the long-term group are still receiving treatment. Comparison of results as time passes will enable conclusions to be made on the value of long-term treatment over 5 years compared with 2 to 3 years.""",1
"""Disease-free survival advantage of adjuvant cyclophosphamide, methotrexate, and fluorouracil in patients with node-negative, rapidly proliferating breast cancer: a randomized multicenter study.""","""PURPOSE: According to one of the most recent key scientific questions concerning the use of biomarkers in clinical trials, we investigated whether node-negative breast cancer patients, defined as high-risk cases on the basis of tumor cell proliferation, could benefit from cyclophosphamide, methotrexate, and fluorouracil (CMF) adjuvant therapy. PATIENTS AND METHODS: Two hundred eighty-one patients with negative nodes and rapidly proliferating tumors, defined according to thymidine labeling index (TLI), were randomized to receive six cycles of CMF or no further treatment after surgery +/- radiotherapy. RESULTS: The 5-year disease-free survival (DFS) was 83% for patients treated with CMF compared with 72% in the control group (P: =.028). Adjuvant treatment reduced both locoregional and distant metastases. When clinical outcome was analyzed in cell kinetic subgroups characterized according to tertile criteria, compared with patients in the control arm, 5-year DFS was significantly higher after adjuvant CMF in patients with TLI values in the second (78% v 88%, respectively; P: =.037) and third tertiles (58% v 78%, respectively; P: =.024). CONCLUSION: The results from this randomized clinical study indicate that patients with node-negative, rapidly proliferating tumors significantly benefit from adjuvant CMF.""",1
"""Phase III randomized comparison of postoperative adjuvant chemotherapy with 2-year oral uracil/tegafur versus 6-cycle cyclophosphamide/methotrexate/5-fluorouracil in high-risk node-negative breast cancer patients.""","""The value of cyclophosphamide/methotrexate/5-fluorouracil (CMF)-type regimens in surgical adjuvant therapy in certain subsets of patients with axillary lymph node-negative breast cancer has been evaluated in Europe and the USA. However, Japan has a distinctive standpoint regarding the indications for surgical adjuvant chemotherapy for breast cancer patients. In addition, oral fluoropyrimidines are widely used to treat breast cancer patients in both adjuvant and metastatic settings due to their low toxicity and convenience for long-term administration. Although the antitumor activity and the ability to prolong disease-free survival times of oral fluoropyrimidines have been evaluated in patients with breast cancer, available data are not sufficient to justify replacing CMF-type regimens with oral fluoropyrimidines in postoperative chemotherapy for breast cancer patients. To evaluate the utility of oral fluoropyrimidines in surgical adjuvant chemotherapy, the National Surgical Adjuvant Study Group (N-SAS) was founded in 1995 as a government-funded research group, and nationwide multiinstitutional trials were designed for breast cancer as well as colon and gastric cancers. For high-risk, node-negative breast cancer patients, a prospective randomized trial of surgical adjuvant chemotherapy comparing 6 cycles of CMF with 2 years of daily uracil/tegafur (UFT) started in October 1996. The endpoints of this study include disease-free and overall survival, adverse reactions, quality of life, and cost.""",0
"""Pulmonary toxicity after radiotherapy in primary breast cancer patients: results from a randomized chemotherapy study.""","""PURPOSE: Pulmonary toxicity was prospectively evaluated within a randomized trial for breast cancer patients at high risk for relapse, who postoperatively received as adjuvant therapy either 9 cycles of tailored chemotherapy (20 patients) (cyclophosphamide, epirubicin, 5-fluorouracil [FEC]) or standard FEC x 3 followed by high-dose chemotherapy (cyclophosphamide, thiotepa, carboplatin [CTCb]) supported by peripheral blood stem cell transplantation (14 patients). After high-dose chemotherapy or tailored FEC, all patients received locoregional radiotherapy (50 Gy/5 weeks), plus tamoxifen for 5 years. METHODS AND MATERIALS: Lung function tests (FVC, FEV1, and DL(CO)) were performed before chemotherapy and 9 months after radiotherapy. Computed tomography of the lungs was performed before radiotherapy and 6 weeks, 3 months, and 9 months after radiotherapy. RESULTS: Clinical signs of suspected pneumonitis were noted in 29% of patients, but only 1 patient needed symptomatic therapy. Radiologic changes were detected in 68% of patients, and they were most frequent at 3 months after radiotherapy. FVC decreased in both groups (tailored FEC: mean difference, -6.5%, p = 0.0005; CTCb: -2.0%, p = 0.21; tailored FEC vs. CTCb: -4.5%, p = 0.05). DL(CO) decreased significantly in both groups (tailored FEC: mean difference, -11.2%, p < 0.0001; CTCb: -5.6%, p = 0.02; tailored FEC vs. CTCb: -5.6%, p = 0.07). FEV1 decreased by 7.3% in patients treated with tailored FEC (p < 0.0001) and by 2.5% in patients treated with CTCb (p = 0.03) (tailored FEC vs. CTCb: 3.7%, p = 0.08). CONCLUSIONS: Changes in pulmonary function were thus detected in both groups, although to a greater extent in the tailored FEC group. The clinical significance of these findings should be balanced carefully against the improved, statistically significant relapse-free survival achieved with the tailored FEC regimen compared to high-dose CTCb + peripheral blood stem cell transplantation (PSCT).""",0
"""Phase I study of percutaneous 4-hydroxy-tamoxifen with analyses of 4-hydroxy-tamoxifen concentrations in breast cancer and normal breast tissue.""","""4-OH-tamoxifen is an active metabolite of tamoxifen that is detectable in the serum and tumour tissue of patients treated by oral tamoxifen. As this metabolite penetrates through the skin, it is possible to compare percutaneous 4-OH-tamoxifen (4-OH-TAM) and oral tamoxifen treatments. We report herein a randomized study of percutaneous 4-OH-TAM versus oral tamoxifen in women with breast cancer. This pharmacology study was designed to compare the 4-OH-TAM concentration in breast cancer and normal breast tissue according to the route and dose used for administration of tamoxifen after a 3-week period prior to surgery and tissue sampling. Women were randomized into one of the five following groups: group I, oral tamoxifen given at 10 mg twice a day; group II, 4-OH-TAM delivered percutaneously at 0.5 mg day to both breast areas; group III, 4-OH-TAM applied percutaneously at 1 mg/day to both breast areas; group IV, 4-OH-TAM delivered percutaneously at 1 mg/day to a large cutaneous area excluding the breasts; and group V, 4-OH-TAM applied percutaneously at 2 mg/day to a large skin area excluding the breasts. 4-OH-TAM plasma and tissue concentrations were significantly higher in the oral tamoxifen group as compared with either the high- or the low-dose percutaneous 4-OH-TAM group. In group II, percutaneous 4-OH-TAM treatment resulted in tissue concentrations of 1,446 and 352 pg/g in tumour tissue and normal breast tissue, respectively. In group I these concentrations were as follows: tumour tissue, 12, 453 pg/g; and normal tissue, 10,214 pg/g. 4-OH-TAM concentrations in tumour tissue and normal breast tissue did not significantly differ in any group. In the oral group we observed classic effects on coagulation and lipid metabolism when pre- and post-treatment values of these biological variables were compared, whereas no difference was observed in the percutaneous group. Although percutaneous administration of 4-OH-TAM led to a low plasmatic concentration of this active metabolite, the breast tissue concentration remained lower than those observed after oral tamoxifen treatment. Therefore, at the doses described in this study, percutaneous 4-OH-TAM cannot be proposed as an alternative tamoxifen treatment.""",1
"""Combination chemotherapy for metastatic or recurrent carcinoma of the breast--a randomized phase III trial comparing CAF versus VATH versus VATH alternating with CMFVP: Cancer and Leukemia Group B Study 8281.""","""PURPOSE: We sought to compare three doxorubicin-based therapies for metastatic breast cancer for response frequency, time to treatment failure (TTF), and survival. MATERIALS AND METHODS: Women with metastatic breast cancer who had measurable disease, required laboratory tests, had received no prior chemotherapy for metastases, had a Cancer and Leukemia Group B (CALGB) performance status < or = 2, and provided informed consent were eligible. Treatment included the following: arm I--cyclophosphamide, doxorubicin, and fluorouracil (CAF); arm II--vinblastine, doxorubicin, thiotepa, and halotestin (VATH); and arm III--VATH alternating with cyclophosphamide, methotrexate, fluorouracil, vincristine, and prednisone (CMFVP) on cycles 3, 5, 7, 9, etc. Doses were modified for toxicities. Standard CALGB response and toxicity criteria were used. RESULTS: Between August 1982 and February 1987, 497 women were entered and 491 were treated on study. Pretreatment characteristics were well balanced and the median follow-up duration was 79 months. There were no significant differences in response (complete [CR] plus partial [PR]) at 50% on arm I, 57% on arm II, and 51% on arm III. The median TTFs were 8, 8, and 9 months, respectively, in favor of arm III when compared with arm I (P = .028). The median survival times for treatment arms I, II, and III were 15, 17, and 17 months, respectively. After multivariate regression analyses, only estrogen receptors (ER), performance status, and number of metastatic sites influenced TTF and survival. Leukopenia was the most common grade 3 or 4 toxicity, occurring in 90%, 80%, and 92% of patients per arm, respectively. Lethal toxicities were seen in four, five, and six women, respectively. Overall, there were more grade > or = 3 toxicities on arm II than I, and most occurred on arm III (P = .02). CONCLUSION: The VATH regimen appears similarly effective to the CAF regimen as initial therapy. Alternating CMFVP with VATH did not improve response rate or survival. After accounting for other variables, treatment arm was not related to outcome. New therapeutic regimens are still needed.""",1
"""Adverse outcome and resistance to adjuvant antiestrogen therapy in node-positive postmenopausal breast cancer patients-The role of p53.""","""The prognostic and predictive relevance of p53 immunoreactivity is used here as a tentative approach for defining more accurately the benefit of adjuvant hormonal therapy in postmenopausal node-positive breast cancer patients. Ninety-seven postmenopausal patients with axillary lymph node metastasis were treated with an antiestrogen for a period of 3 years after primary surgery and radiotherapy. The p53 status of the primary tumor was assessed by immunohistochemistry and 24% of the samples showed positive expression of p53. Within the average follow-up time of 59 months, disease recurrence was diagnosed in 34 patients (35%). Multivariate analysis showed high clinical stage, negative estrogen receptor status and p53 positivity to be independent prognostic factors predicting both shortened disease-free survival and worse overall survival. p53 immunoreactivity was associated with worse clinical outcome irrespective of hormone receptor status. The data suggest that adjuvant therapy with antiestrogens is insufficient in this patient population with p53-positive tumors.""",0
"""Randomized multicentric study of perioperative chemotherapy with mitoxantrone in early breast cancer.""","""BACKGROUND: To confirm the hypothesis that reducing the interval between surgery and adjuvant chemotherapy could improve prognosis, a randomized multicentric study of adjuvant perioperative chemotherapy (POC) in breast cancer was initiated. METHODS: A total of 552 patients were randomized to evaluate whether the addition of POC to standard adjuvant treatment significantly improved outcome. Patients were stratified according to menopausal status, with 362 patients in the postmenopausal group and 192 patients in the premenopausal group. Premenopausal women with positive axillary nodes, negative hormonal receptors, or grade 3 tumors received adjuvant mitoxantrone-based chemotherapy. Node-negative premenopausal patients with grade 1 or 2 tumors expressing hormonal receptors received no standard adjuvant treatment. All postmenopausal women received hormonal therapy (tamoxifen 20 mg/day for 3 years). The perioperative regimen was a 14 mg/m(2) mitoxantrone infusion at the end of tumor excision. RESULTS: With a median follow-up of 6.1 years, this study showed no significant advantage of POC on overall survival, disease-free survival, or metastasis-free survival for the total cohort or for the premenopausal and postmenopausal groups. CONCLUSIONS: POC was a safe procedure in this study. However, the addition of POC to standard adjuvant treatment offered no benefit in breast cancer adjuvant treatment.""",1
"""Randomized trial of single dose versus fractionated palliative radiotherapy of bone metastases.""","""PURPOSE: Data in the literature suggest that for painful bone metastases a single dose is as effective as fractionated radiotherapy. In the present multicentre prospective trial, the effects of 8 Gy x1 and 5 Gy x4 were compared. PATIENTS AND METHODS: A total of 241 patients were randomized to 8 Gy (122 patients) or 20 Gy (119 patients). The primary tumour was in the breast in 39% of patients, in the prostate in 34% of patients, in the lung in 13% of patients and in other locations in 14% of patients. Outcome measures were pain relief as measured by VAS and in half of the patients also by a five-point categorical pain scale, global quality of life (QoL) and analgesic consumption. Evaluation was performed before and 4, 8, 12 and 20 weeks after treatment. RESULTS: A total of 239 patients were evaluable for response. The two groups did not differ with respect to age, sex, primary tumour, metastasis localization, analgesic consumption (type and dose), performance status, prior systemic treatment, degree of pain and QoL. The treatment was completed as planned in 98% of patients. The degree of pain relief did not differ between the two treatment groups. At 4 weeks the difference in pain relief was 6% (95% CI 7, 20%) and at 8 weeks the difference was 13% (95% CI 3, 28%). Neither was there any significant difference in the duration of pain relief, the number of new painful sites and the need for reirradiation and toxicity was minor. CONCLUSION: The present randomized study showed that a single fraction of 8 Gy was as effective as 5 Gy x4 in relieving pain from bone metastasis.""",0
"""Sentinel node biopsy after primary chemotherapy in breast cancer: a note of caution from results of ABCSG-14.""","""Over the past years, experience has been increasing with lymphatic mapping and sentinel node biopsy (SNB) after preoperative chemotherapy for breast cancer, with a wide range of results reported in the literature and final conclusions on the diagnostic value and clinical consequences of this sequential approach still missing. Between 1999 and 2002, the Austrian Breast and Colorectal Cancer Study Group (ABCSG) conducted a prospective randomized multicenter trial comparing three versus six preoperative cycles of epirubicin/docetaxel + granulocyte colony-stimulating factor for operable breast cancer. Of the 292 patients recruited to the trial overall, 111 were enrolled in a prospective subprotocol for performing LM and SNB in addition to obligatory axillary lymph node dissection (ALND) after PC. SNB after PC identified at least one sentinel node in 100 of 111 patients (identification rate 90%). In six cases, a false-negative SN was identified, resulting in a false-negative rate of 13% (6 of 47). We only found little correlation between patients and tumor characteristics and the identification rate or false-negative rate. Lymphatic mapping and SNB after primary chemotherapy failed to predict histologic infiltration of the sentinel node with sufficient sensitivity. The routine use of SNB after primary chemotherapy should therefore be discouraged.""",0
"""Chemical castration induced by adjuvant cyclophosphamide, methotrexate, and fluorouracil chemotherapy causes rapid bone loss that is reduced by clodronate: a randomized study in premenopausal breast cancer patients.""","""PURPOSE: In the majority of premenopausal breast cancer patients, an adjuvant chemotherapy-induced early menopause occurs, which is known to be a strong predictor of osteoporosis. We present data on the effect of adjuvant cyclophosphamide, methotrexate, and fluorouracil (CMF) therapy on bone mineral density (BMD) and the efficacy of clodronate on the prevention of bone loss in 148 premenopausal breast cancer patients without skeletal metastases. MATERIALS AND METHODS: Patients were randomized to receive oral clodronate 1,600 mg/d or to a control group. In addition, patients were treated with six cycles of CMF therapy. BMD of the lumbar spine and femoral neck was measured by dual-energy x-ray absorptiometry (DEXA) before therapy and at 1 and 2 years. RESULTS: Changes in the BMD of lumbar spine and femoral neck were -5.9% and -2.0% without clodronate and -2.2% and +0.9% with clodronate at 2 years (P = .0005 and .017, respectively). Patients who developed amenorrhea after chemotherapy had a rapid bone loss, which was significantly reduced by clodronate. In controls, bone loss was 9.5% in the lumbar spine and 4.6% in the femoral neck, while in the clodronate group, bone loss was 5.9% and 0.4%, respectively, at 2 years. Patients with preserved menstruation had only marginal changes in BMD. CONCLUSION: Chemotherapy-induced ovarian failure causes rapid bone loss in premenopausal breast cancer patients. Women older than 40 years are at particularly high risk. Clodronate significantly reduces this bone loss.""",0
"""Tumor-specific VEGF-A and VEGFR2 in postmenopausal breast cancer patients with long-term follow-up. Implication of a link between VEGF pathway and tamoxifen response.""","""Vascular endothelial growth factor (VEGF-A) is considered a prognostic indicator for clinical outcome in breast cancer. Conflicting results nevertheless exist and there is a need for larger studies including untreated patients in order to clarify the importance of tumor-specific VEGF-A regarding prognosis as well as potential links to predictive treatment information. VEGF-A and its receptor, vascular endothelial growth receptor 2 (VEGFR2), were therefore analyzed by immunohistochemistry in postmenopausal breast cancers enrolled in a clinical trial where patients were randomized to adjuvant tamoxifen treatment (n = 124) for 2 years or no treatment (n = 127) with a median follow-up of 18 years. The tumors were arranged in a tumor tissue microarray system enabling parallel analysis of the angiogenic factors and hormone receptor status. Tumor-specific expression of VEGFR2 correlated strongly with expression of VEGF-A and progesterone receptor (PR) negativity, whereas VEGF-A was not associated with hormone receptor status. Among patients with estrogen receptor (ER) positive (fraction > 10%) tumors, there was a statistically significant tamoxifen response in VEGF-A negative tumors at both 10-year and 18-year disease-free survival (DFS), contrasting to VEGF-A positive tumors who had no beneficial effect of tamoxifen. A treatment-interaction variable indicated a marked difference in tamoxifen response depending on VEGFA-status in terms of DFS at 10 and 18 years of follow-up, p = 0.046 and p = 0.039, respectively. VEGFR2 status did not yield significant predicitve information for tamoxifen response in patients with ER fraction > 10%, whereas in patients with ER fraction > 90% both VEGF-A and VEGFR2 status were associated with tamoxifen treatment effect.""",0
"""Comparative effects of three cytokine regimens after high-dose cyclophosphamide: granulocyte colony-stimulating factor, granulocyte-macrophage colony-stimulating factor (GM-CSF), and sequential interleukin-3 and GM-CSF.""","""PURPOSE: To compare the toxicity and effects on hematologic recovery and circulating progenitor cell mobilization of three cytokine regimens administered after high-dose cyclophosphamide (HD-CTX; 6 g/m(2)), given as the first step of a high-dose sequential chemotherapy. PATIENTS AND METHODS: Forty-eight patients with breast cancer or non-Hodgkin's lymphoma were randomized to receive granulocyte colony-stimulating factor (G-CSF) alone (arm 1), granulocyte-macrophage colony-stimulating factor (GM-CSF) alone (arm 2), or sequential interleukin-3 (IL-3) and GM-CSF (arm 3). Cytokines were administered as a single daily subcutaneous injection at a dose of 5 to 6 microg/kg/d. Progenitor cells were evaluated in peripheral blood as well as in apheretic product as both CD34(+) cells and granulocyte-macrophage colony-forming units (CFU-GM). RESULTS: Neutrophil recovery was faster in arm 1 as compared with arms 2 and 3 (P <.0001); no significant differences were observed between arms 2 and 3. In arm 3, a moderate acceleration of platelet recovery was observed, but it was statistically significant only as compared with arm 1 (P =.028). The peak of CD34(+) cells was hastened in a median of 2 days in arm 1 compared with arms 2 and 3 (P =.0002), whereas the median peak value of CD34(+) cells and CFU-GM was similar in the three patient groups. Administration of IL-3 and GM-CSF resulted in more significant toxicity requiring pharmacologic treatment in 90% of patients. CONCLUSION: The three cytokine regimens administered after HD-CTX are comparably effective in reducing hematologic toxicity and mobilizing the hematopoietic progenitor cells. G-CSF accelerates leukocyte recovery and progenitor mobilization. Although G-CSF-treated patients have somewhat slower platelet recovery, they definitely have fewer side effects.""",0
"""Late effects of adjuvant chemotherapy on cognitive function: a follow-up study in breast cancer patients.""","""BACKGROUND: Neuropsychological examinations have shown an elevated risk for cognitive impairment 2 years after therapy in breast cancer patients randomized to receive adjuvant high-dose cyclophosphamide, thiotepa, carboplatin (CTC) chemotherapy compared with a non-treated control group of stage I breast cancer patients. Patients randomized to receive standard-dose fluorouracil, epirubicin, cyclophosphamide (FEC) chemotherapy showed no elevated risk compared with controls. However, breast cancer patients treated with conventional cyclophosphamide, methotrexate, 5-fluorouracil (CMF) chemotherapy showed a higher risk of cognitive impairment. The present study was designed to obtain a greater insight into these long-term neuropsychological sequelae following chemotherapy and their course in time. PATIENTS AND METHODS: At 4 years post-therapy, 22 of the original 34 CTC patients, 23 of 36 FEC patients, 31 of 39 CMF patients and 27 of 34 control patients were re-examined with neuropsychological tests. RESULTS: Improvement in performance was observed in all chemotherapy groups, whereas in the control group there was a slight deterioration in test results. A differential attrition was observed among the groups, with a relatively high percentage of initially cognitively impaired patients from the CTC group dropping out due to factors related to disease progression. CONCLUSIONS: The results suggest that cognitive dysfunction following adjuvant chemotherapy in breast cancer patients may be transient. Additional studies are needed to investigate the differential attrition of patients with cognitive impairment.""",0
"""Fulvestrant versus anastrozole as second-line treatment of advanced breast cancer in postmenopausal women.""","""""",0
"""Five-drug therapy for advanced breast cancer: a phase I study.""","""""",1
"""Doxorubicin/pemetrexed followed by docetaxel versus doxorubicin/ cyclophosphamide followed by docetaxel as neoadjuvant treatment for early-stage breast cancer: a randomized phase II trial.""","""BACKGROUND: Microarray gene expression profiling has indicated that complex molecular gene expression signatures might be predictive of outcome after systemic treatment for early breast cancer. Neoadjuvant systemic therapy (NST) with its assessment of pathologic complete response (pCR), so far the best surrogate parameter for cure, provides a unique opportunity to rapidly identify such molecular predictors. PATIENTS AND METHODS: Currently, an international, randomized phase II study of 2 sequential regimens as NST is being conducted in patients with primary invasive breast cancer T2-4a-c N0-2 M0. Patients receive 4 cycles of doxorubicin/pemetrexed, followed by 4 cycles of docetaxel (AP-Doc) or 4 cycles of doxorubicin/cyclophosphamide, followed by 4 cycles of docetaxel (AC-Doc). Tumor, tissue, blood, and serum are collected at baseline and, if available, after 4 cycles of chemotherapy, and at surgery. The clinical objectives are to assess pCR rate, tumor response, rate of histologically negative axillary lymph nodes, disease-free survival, and safety after NST with AP-Doc or AC-Doc. Translational research objectives include the identification of differentially expressed genes predictive for the achievement of pCR after either treatment regimen. RESULTS: As of January 2007, 178 of the 256 patients planned for this study had been enrolled at 12 European centers. The recommendation after a planned interim safety and efficacy analysis was to continue with the trial as planned. CONCLUSION: We anticipate this study will provide a better understanding of the treatment options with pemetrexed in primary breast cancer and give insight into the practical robustness of the new marker sets in response prediction.""",1
"""Droloxifene, a new anti-oestrogen in postmenopausal advanced breast cancer: preliminary results of a double-blind dose-finding phase II trial.""","""Droloxifene (3-OH-tamoxifen citrate) is a novel anti-oestrogen with a higher affinity for oestrogen receptors (ER), a lower oestrogenic to anti-oestrogenic activity ratio and faster pharmacokinetics compared with tamoxifen. From May 1988 to April 1991, 369 postmenopausal women with metastatic or locally unresectable breast cancer of which the ER or progesterone receptor status was positive or unknown, were randomised to receive an oral dose of 20, 40 or 100 mg droloxifene once daily. 43 Brazilian, Canadian and European centres took part in this double-blind phase II trial. 60 women were ineligible for violation of entry criteria; 20 were inevaluable and 15 still await definitive response evaluation. 234 patients have been evaluated for response. The over-all objective response rate (complete plus partial) was 92/234 (39.3%): 23/74 (31.1%) for 20 mg, 33/74 (44.6%) for 40 mg and 36/86 (41.9%) for 100 mg (not significantly different within this dose range). There was no significant difference in time to tumour progression between the three doses. Toxicity was minimal at all doses. These preliminary results show that droloxifene is active against advanced breast cancer. Because of its outstanding preclinical characteristics, the drug warrants large-scale clinical investigation.""",1
"""A double-blind, randomised, placebo-controlled, phase 2b study evaluating sorafenib in combination with paclitaxel as a first-line therapy in patients with HER2-negative advanced breast cancer.""","""BACKGROUND: We conducted a phase 2b, randomised, double-blind, placebo-controlled screening trial to evaluate the addition of the multikinase inhibitor sorafenib (antiproliferative/antiangiogenic) to first-line paclitaxel for human epidermal growth factor receptor 2 (HER2)-negative locally recurrent/metastatic breast cancer. METHODS: Patients were randomised to paclitaxel (90mg/m(2), weekly, intravenously, 3weeks on/1week off) plus sorafenib (400mg, orally, twice daily) or placebo. The primary endpoint was progression-free survival (PFS). A sample size of 220 patients was planned with relative risk ä©_0.82 (1-sided ‘±=0.14) after 120 events supporting a treatment effect. FINDINGS: Patients were randomised in India (n=170), the United States (n=52) and Brazil (n=15). Median PFS was 6.9months for sorafenib versus 5.6months for placebo (hazard ratio (HR)=0.788; 95% confidence interval (CI), 0.558-1.112; P=0.1715 [1-sided P=0.0857]). The addition of sorafenib increased time to progression (median, 8.1 versus 5.6months; HR=0.674; 95% CI 0.465-0.975; P=0.0343) and improved overall response (67% versus 54%; P=0.0468). Overall survival did not statistically differ (median, 16.8 versus 17.4months; HR=1.022; 95% CI 0.715-1.461; P=0.904). Grade 3/4 toxicities (sorafenib versus placebo) included hand-foot skin reaction (31% versus 3%), neutropenia (13% versus 7%) and anaemia (11% versus 6%). Two treatment-related deaths occurred (malaria and liver dysfunction) in the sorafenib arm. INTERPRETATION: The addition of sorafenib to paclitaxel improved disease control but did not significantly improve PFS to support a phase 3 trial of similar design. Toxicity of the combination was manageable with dose reductions. FUNDING: Northwestern University, Onyx Pharmaceuticals, Bayer Healthcare Pharmaceuticals.""",1
"""Randomized trial of doxorubicin alone or combined with vincristine and mitomycin C in women with metastatic breast cancer.""","""A randomized clinical trial was performed to determine if combination therapy with doxorubicin, vincristine, and mitomycin C (DVM) was superior to doxorubicin alone in women with metastatic breast cancer for whom prior chemotherapy had failed. A total of 185 women were randomized to monthly courses of D (60 mg/m2, observation after 500 mg/m2); or D (50 mg/m2, maximum cumulative dose 500 mg/m2), V (1 mg/m2), and M (10 mg/m2, given every other cycle). Patients failing after D alone could receive V (1 mg weekly for 5 weeks, then 1.2 mg/m2 every 5 weeks) plus M (12 mg/m2 every 5 weeks). Objective responses were seen in 24 of 95 patients (25%) on D alone and 39 of 90 patients (43%) on DVM (two-sided p = 0.01). The time to disease progression distribution was significantly better for DVM (two-sided p = 0.02), but the magnitude of the advantage was small with the medians being 2.7 months for D and 4.2 months for DVM. There was no significant difference in survival between the two regimens. The degree of leukopenia was greater for DVM both in terms of median white blood cell nadir (1,300/microL versus 1,700/microL) and percentage of patients with a nadir less than 1,000/microL (33% versus 16%). A total of 45 patients received VM following D alone, and only seven (16%) achieved an objective response. We conclude that, despite a significantly higher response rate and longer time to progression, the degree of clinical benefit is not sufficient to recommend the combination of DVM over D alone as second-line therapy for women with metastatic breast cancer. The level of efficacy seen with VM as tertiary therapy is low and is of such a magnitude to suggest that V adds little but toxicity to M.""",1
